Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
9‑Oct‑2000,Vienna,Hard,SF,31,10,(6)Tim Henman [GBR] d. Federer,2-6 7-6(4) 6-3,Roger Federer,Tim Henman,L,,1.45,7.7%,2.6%,64.1%,70.0%,78.6%,2/4,2:09
9‑Oct‑2000,Vienna,Hard,QF,31,20,Federer d. Richard Krajicek [NED],6-4 6-3,Roger Federer,Richard Krajicek,W,,1.07,8.6%,4.3%,57.1%,77.5%,60.0%,7/7,1:14
9‑Oct‑2000,Vienna,Hard,R16,31,43,Federer d. (Q)Max Mirnyi [BLR],6-3 6-3,Roger Federer,Max Mirnyi,W,,1.29,7.5%,1.5%,59.7%,72.5%,59.3%,7/7,1:16
9‑Oct‑2000,Vienna,Hard,R32,31,4,Federer d. (2)Magnus Norman [SWE],4-6 7-6(4) 6-4,Roger Federer,Magnus Norman,W,,1.03,10.3%,1.9%,57.9%,71.0%,46.7%,6/10,2:27
18‑Sep‑2000,Sydney Olympics,Hard,BR,36,62,Arnaud Di Pasquale [FRA] d. Federer,7-6(5) 6-7(7) 6-3,Roger Federer,Arnaud Di Pasquale,L,(ch),,,,,,,,
18‑Sep‑2000,Sydney Olympics,Hard,SF,36,48,Tommy Haas [GER] d. Federer,6-3 6-2,Roger Federer,Tommy Haas,L,(ch),,,,,,,,
18‑Sep‑2000,Sydney Olympics,Hard,QF,36,34,Federer d. Karim Alami [MAR],7-6(2) 6-1,Roger Federer,Karim Alami,W,,,,,,,,,
18‑Sep‑2000,Sydney Olympics,Hard,R16,36,61,Federer d. Mikael Tillstrom [SWE],6-1 6-2,Roger Federer,Mikael Tillstrom,W,,,,,,,,,
18‑Sep‑2000,Sydney Olympics,Hard,R32,36,43,Federer d. Karol Kucera [SVK],6-4 7-6(5),Roger Federer,Karol Kucera,W,,,,,,,,,
18‑Sep‑2000,Sydney Olympics,Hard,R64,36,60,Federer d. David Prinosil [GER],6-2 6-2,Roger Federer,David Prinosil,W,,,,,,,,,
28‑Aug‑2000,US Open,Hard,R32,40,12,(12)Juan Carlos Ferrero [ESP] d. Federer,7-5 7-6(6) 1-6 7-6(6),Roger Federer,Juan Carlos Ferrero,L,(ch),1.19,10.4%,5.2%,55.6%,80.0%,50.0%,8/12,2:53
28‑Aug‑2000,US Open,Hard,R64,40,307,Federer d. Daniel Nestor [CAN],6-1 7-6(5) 6-1,Roger Federer,Daniel Nestor,W,(ch),1.77,17.0%,1.1%,62.5%,87.3%,54.5%,4/4,1:32
